 v-sweep         i(viout)        v(vout)        
 7.30000000e-01  6.24292001e-01  6.24292000e-01  6.24292001e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323072e-07  8.09947309e-08  7.30000000e-01 
 7.40000000e-01  6.24292000e-01  6.24291999e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24291999e-01  3.29202939e-09  5.94323067e-07  8.08277330e-08  7.40000000e-01 
 7.50000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202951e-09  5.94323067e-07  8.06610272e-08  7.50000000e-01 
 7.60000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.04946199e-08  7.60000000e-01 
 7.70000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202940e-09  5.94323071e-07  8.03285118e-08  7.70000000e-01 
 7.80000000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323073e-07  8.01626898e-08  7.80000000e-01 
 7.90000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323063e-07  7.99971493e-08  7.90000000e-01 
 8.00000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323063e-07  7.98318904e-08  8.00000000e-01 
 8.10000000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323073e-07  7.96669193e-08  8.10000000e-01 
 8.20000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323070e-07  7.95022137e-08  8.20000000e-01 
 8.30000000e-01  6.24292000e-01  6.24291999e-01  6.24292000e-01  6.24291999e-01  6.24292000e-01  6.24291999e-01  3.29202939e-09  5.94323067e-07  7.93377781e-08  8.30000000e-01 
